ID,Gender,Age,Profile,Salary (GBP),Recency (1-36),Frequency,Monetary Score (1-100),Previous purchase,Latest purchase
1,Male,19,Student,15000,25,2,39,P000236,P000040
2,Male,21,Standard,15000,11,14,81,P000272,P000349
3,Female,20,Standard,16000,20,5,6,P000102,P000315
4,Female,23,Business,16000,10,10,77,P000366,P000225
5,Female,31,Student,17000,19,8,40,P000059,P000088
6,Female,22,Standard,17000,33,1,76,P000360,P000087
7,Female,35,Standard,18000,5,12,6,P000061,P000047
8,Female,23,Student,18000,16,5,94,P000050,P000128
9,Male,20,Standard,19000,25,1,3,P000329,P000076
10,Female,30,Student,19000,6,7,72,P000184,P000350
11,Male,67,Standard,19000,20,10,14,P000048,P000205
12,Female,35,Standard,19000,14,13,99,P000276,P000040
13,Female,58,Standard,20000,35,3,15,P000229,P000251
14,Female,24,Standard,20000,23,10,77,P000335,P000061
15,Male,37,Business,20000,21,90,13,P000133,P000305
16,Male,22,Business,20000,3,1,79,P000017,P000288
17,Female,35,Standard,21000,32,10,35,P000346,P000185
18,Male,20,Student,21000,2,16,66,P000354,P000080
19,Male,52,Business,23000,16,128,29,P000200,P000181
20,Female,35,Standard,23000,10,8,98,P000082,P000137
21,Male,35,Standard,24000,16,2,35,P000278,P000022
22,Male,25,Student,24000,16,1,73,P000024,P000007
23,Female,46,Standard,25000,8,12,5,P000099,P000008
24,Male,31,Student,25000,23,6,73,P000117,P000298
25,Female,54,Standard,28000,12,2,14,P000104,P000018
26,Male,29,Standard,28000,20,11,82,P000010,P000189
27,Female,45,Standard,28000,28,1,32,P000064,P000328
28,Male,35,Business,28000,34,9,61,P000075,P000061
29,Female,40,Business,29000,7,22,31,P000266,P000266
30,Female,23,Standard,29000,29,9,87,P000317,P000174
31,Male,60,Standard,30000,32,14,4,P000033,P000154
32,Female,21,Standard,30000,31,1,73,P000124,P000022
33,Male,53,Business,33000,27,1,4,P000220,P000009
34,Male,63,Standard,33000,13,18,92,P000343,P000212
35,Female,49,Standard,33000,28,10,14,P000336,P000251
36,Female,21,Student,33000,16,30,81,P000034,P000248
37,Female,42,Business,34000,4,4,17,P000273,P000078
38,Female,30,Business,34000,29,6,73,P000016,P000072
39,Female,36,Business,37000,20,8,26,P000186,P000276
40,Female,20,Student,37000,33,18,75,P000343,P000282
41,Female,65,Business,38000,2,11,35,P000083,P000006
42,Male,24,Business,38000,21,11,92,P000222,P000138
43,Male,48,Standard,39000,33,11,36,P000248,P000134
44,Female,31,Business,39000,19,6,61,P000209,P000099
45,Female,49,Business,39000,30,9,28,P000082,P000101
46,Female,24,Business,39000,29,4,65,P000300,P000210
47,Female,50,Standard,40000,2,14,55,P000233,P000114
48,Female,27,Business,40000,29,65,47,P000129,P000215
49,Female,29,Student,40000,7,13,42,P000091,P000126
50,Female,31,Business,40000,14,120,42,P000159,P000116
51,Female,49,Business,42000,32,10,52,P000174,P000222
52,Male,33,Business,42000,31,14,60,P000272,P000011
53,Female,31,Standard,43000,27,14,54,P000172,P000160
54,Male,59,Standard,43000,35,1,60,P000141,P000218
55,Female,50,Standard,43000,24,13,45,P000114,P000100
56,Male,47,Business,43000,25,11,41,P000095,P000133
57,Female,51,Standard,44000,18,21,50,P000271,P000261
58,Male,69,Standard,44000,18,9,46,P000193,P000177
59,Female,27,Standard,46000,10,15,51,P000363,P000318
60,Male,53,Standard,46000,26,5,46,P000345,P000168
61,Male,70,Business,46000,16,10,56,P000361,P000359
62,Male,19,Student,46000,32,3,55,P000351,P000364
63,Female,67,Business,47000,16,6,52,P000045,P000341
64,Female,54,Business,47000,27,41,59,P000048,P000264
65,Male,63,Standard,48000,36,51,51,P000062,P000285
66,Male,18,Student,48000,31,2,59,P000177,P000241
67,Female,43,Standard,48000,20,8,50,P000340,P000184
68,Female,68,Standard,48000,4,18,48,P000135,P000188
69,Male,36,Business,48000,17,14,59,P000104,P000310
70,Female,32,Business,48000,17,10,47,P000056,P000333
71,Male,70,Standard,49000,9,45,55,P000121,P000304
72,Female,47,Business,49000,14,118,42,P000256,P000235
73,Female,60,Business,50000,19,8,49,P000305,P000247
74,Female,60,Business,50000,3,6,56,P000307,P000035
